time_s,theta_deg,m1_counts,m2_counts
0.0,0.2024,0,0
0.011,0.2045,0,0
0.024,0.2072,0,0
0.036,0.2137,0,0
0.047,0.2157,0,0
0.057,0.2187,0,0
0.067,0.2243,0,0
0.077,0.2263,0,0
0.09,0.227,0,0
0.1,0.2302,0,0
0.111,0.2349,0,0
0.124,0.2401,0,0
0.136,0.251,0,0
0.147,0.2575,0,0
0.157,0.2634,0,0
0.167,0.2756,0,0
0.177,0.2927,0,0
0.187,0.3038,0,0
0.197,0.3129,0,0
0.207,0.328,0,0
0.217,0.3346,0,0
0.227,0.3415,0,0
0.237,0.3459,0,0
0.247,0.3515,0,0
0.257,0.3628,0,0
0.267,0.3708,0,0
0.278,0.3921,0,0
0.291,0.4085,0,0
0.301,0.4204,0,0
0.311,0.4358,0,0
0.321,0.4475,0,0
0.333,0.4662,0,0
0.344,0.4839,0,0
0.354,0.495,0,0
0.364,0.505,0,0
0.374,0.5182,0,0
0.387,0.5341,0,0
0.397,0.5483,0,0
0.408,0.5598,0,0
0.421,0.5772,0,0
0.433,0.5922,0,0
0.444,0.6083,0,0
0.454,0.6208,0,0
0.464,0.6291,0,0
0.474,0.6415,0,0
0.486,0.654,0,0
0.498,0.6699,0,0
0.508,0.6809,0,0
0.521,0.6925,0,0
0.534,0.7049,0,0
0.544,0.7179,0,0
0.555,0.7271,0,0
0.567,0.7415,0,0
0.578,0.7486,0,0
0.59,0.7658,0,0
0.601,0.7746,0,0
0.611,0.787,0,0
0.621,0.7943,0,0
0.634,0.8064,0,0
0.645,0.816,0,0
0.655,0.8251,0,0
0.668,0.8361,0,0
0.678,0.8427,0,0
0.691,0.8583,0,0
0.701,0.8688,0,0
0.711,0.8769,0,0
0.721,0.8866,0,0
0.733,0.8991,0,0
0.743,0.9104,0,0
0.753,0.9185,0,0
0.764,0.9299,0,0
0.775,0.9383,0,0
0.788,0.9511,0,0
0.798,0.9566,0,0
0.808,0.9667,0,0
0.818,0.9752,0,0
0.828,0.9789,0,0
0.838,0.9898,0,0
0.848,0.9966,0,0
0.858,0.9989,0,0
0.868,1.0089,0,0
0.878,1.0159,0,0
0.889,1.0256,0,0
0.902,1.0309,0,0
0.912,1.0406,0,0
0.925,1.0532,0,0
0.937,1.0621,0,0
0.948,1.0696,0,0
0.958,1.0744,0,0
0.968,1.0848,0,0
0.978,1.0914,0,0
0.989,1.1033,0,0
0.999,1.108,0,0
1.009,1.1127,0,0
1.022,1.1225,0,0
1.034,1.1305,0,0
1.045,1.1402,0,0
1.055,1.1449,0,0
1.065,1.1517,0,0
1.075,1.1618,0,0
1.086,1.1662,0,0
1.096,1.1761,0,0
1.106,1.1838,0,0
1.118,1.1946,0,0
1.128,1.2004,0,0
1.14,1.2056,0,0
1.153,1.2131,0,0
1.165,1.2174,0,0
1.176,1.2184,0,0
1.188,1.2246,0,0
1.198,1.2267,0,0
1.209,1.2274,0,0
1.222,1.2354,0,0
1.234,1.2373,0,0
1.244,1.2429,0,0
1.257,1.2468,0,0
1.268,1.2477,0,0
1.279,1.2479,0,0
1.291,1.2556,0,0
1.301,1.2574,0,0
1.312,1.2612,0,0
1.322,1.266,0,0
1.335,1.2679,0,0
1.346,1.2683,0,0
1.356,1.2732,0,0
1.369,1.2767,0,0
1.379,1.2772,0,0
1.389,1.2803,0,0
1.399,1.2851,0,0
1.409,1.2867,0,0
1.419,1.2872,0,0
1.429,1.2938,0,0
1.441,1.2964,0,0
1.452,1.2969,0,0
1.462,1.2986,0,0
1.476,1.3012,0,0
1.488,1.3018,0,0
1.499,1.302,0,0
1.509,1.302,0,0
1.519,1.302,0,0
1.529,1.302,0,0
1.539,1.302,0,0
1.549,1.302,0,0
1.559,1.302,0,0
1.569,1.302,0,0
1.579,1.302,0,0
1.591,1.302,0,0
1.603,1.302,0,0
1.613,1.302,0,0
1.627,1.302,0,0
1.639,1.302,0,0
1.649,1.302,0,0
1.659,1.302,0,0
1.669,1.302,0,0
1.679,1.302,0,0
1.689,1.302,0,0
1.699,1.302,0,0
1.709,1.302,0,0
1.719,1.302,0,0
1.729,1.302,0,0
1.739,1.302,0,0
1.749,1.302,0,0
1.759,1.302,0,0
1.769,1.302,0,0
1.779,1.302,0,0
1.79,1.302,0,0
1.803,1.302,0,0
1.813,1.302,0,0
1.823,1.302,0,0
1.836,1.302,0,0
1.847,1.302,0,0
1.857,1.302,0,0
1.869,1.302,0,0
1.879,1.302,0,0
1.89,1.302,0,0
1.903,1.302,0,0
1.913,1.302,0,0
1.927,1.302,0,14
1.939,1.302,0,39
1.949,1.302,0,70
1.96,1.2959,0,109
1.972,1.2703,0,163
1.985,1.2247,0,227
1.996,1.1757,0,293
2.007,1.139,0,355
2.018,1.0803,0,431
2.029,1.0663,0,505
2.04,1.0309,0,582
2.051,0.9971,0,661
2.064,0.9727,0,756
2.075,0.9515,0,841
2.088,0.917,0,944
2.099,0.916,0,1033
2.111,0.918,0,1129
2.122,0.9153,0,1225
2.132,0.9214,0,1310
2.143,0.9303,0,1401
2.155,0.9326,0,1506
2.167,0.9337,0,1612
2.178,0.9056,0,1706
2.188,0.8895,0,1801
2.199,0.8852,0,1898
2.209,0.876,0,1986
2.22,0.8746,0,2082
2.231,0.8608,0,2181
2.241,0.8441,0,2280
2.252,0.8401,0,2377
2.262,0.8094,0,2465
2.272,0.7985,0,2561
2.282,0.7498,0,2657
2.293,0.7124,0,2757
2.306,0.6766,0,2879
2.318,0.635,0,2985
2.328,0.557,0,3083
2.339,0.4964,0,3186
2.35,0.4499,0,3287
2.361,0.3665,0,3395
2.372,0.2877,0,3494
2.382,0.1896,0,3593
2.394,0.143,0,3704
2.407,0.1512,0,3827
2.419,0.2558,0,3939
2.429,0.3611,0,4033
2.44,0.4881,0,4137
2.451,0.6431,0,4245
2.462,0.7878,0,4353
2.476,0.9511,0,4478
2.488,1.1064,0,4592
2.499,1.3023,0,4699
2.51,1.4644,0,4808
2.521,1.6447,0,4915
2.531,1.7814,0,5007
