time_s,theta_deg,m1_counts,m2_counts
0.0,0.134,0,0
0.01,0.136,0,0
0.021,0.1367,0,0
0.034,0.137,0,0
0.044,0.137,0,0
0.057,0.137,0,0
0.068,0.1371,0,0
0.08,0.1371,0,0
0.091,0.1371,0,0
0.104,0.1371,0,0
0.114,0.1427,0,0
0.127,0.1467,0,0
0.138,0.1476,0,0
0.15,0.1479,0,0
0.161,0.1496,0,0
0.171,0.1545,0,0
0.181,0.157,0,0
0.191,0.1578,0,0
0.203,0.1614,0,0
0.214,0.1673,0,0
0.227,0.1712,0,0
0.238,0.1707,0,0
0.25,0.1754,0,0
0.261,0.178,0,0
0.271,0.1773,0,0
0.281,0.1784,0,0
0.291,0.1825,0,0
0.304,0.1848,0,0
0.314,0.1853,0,0
0.324,0.1935,0,0
0.334,0.1964,0,0
0.345,0.2024,0,0
0.358,0.2048,0,0
0.368,0.2065,0,0
0.381,0.2098,0,0
0.391,0.2138,0,0
0.404,0.2184,0,0
0.414,0.2214,0,0
0.424,0.2275,0,0
0.434,0.2296,0,0
0.445,0.2325,0,0
0.458,0.2387,0,0
0.468,0.2419,0,0
0.478,0.2453,0,0
0.488,0.2506,0,0
0.5,0.2527,0,0
0.511,0.254,0,0
0.521,0.2571,0,0
0.531,0.2587,0,0
0.541,0.2592,0,0
0.554,0.2594,0,0
0.565,0.2625,0,0
0.578,0.2669,0,0
0.588,0.2687,0,0
0.601,0.2692,0,0
0.611,0.272,0,0
0.621,0.2771,0,0
0.631,0.2789,0,0
0.641,0.2795,0,0
0.654,0.2797,0,0
0.665,0.2797,0,0
0.678,0.2798,0,0
0.688,0.286,0,0
0.7,0.2896,0,0
0.711,0.2904,0,0
0.721,0.2906,0,0
0.731,0.2931,0,0
0.742,0.2968,0,0
0.754,0.3017,0,0
0.765,0.307,0,0
0.778,0.315,0,0
0.788,0.3176,0,0
0.801,0.3224,0,0
0.811,0.3249,0,0
0.822,0.327,0,0
0.832,0.3317,0,0
0.842,0.3379,0,0
0.854,0.3415,0,0
0.865,0.3446,0,0
0.875,0.3463,0,0
0.885,0.3498,0,0
0.896,0.351,0,0
0.908,0.3549,0,0
0.919,0.3583,0,0
0.931,0.3632,0,0
0.942,0.3664,0,0
0.954,0.3725,0,0
0.965,0.3744,0,0
0.978,0.3751,0,0
0.989,0.3777,0,0
1.001,0.3822,0,0
1.012,0.3831,0,0
1.022,0.3834,0,0
1.032,0.3887,0,0
1.042,0.392,0,0
1.055,0.3933,0,0
1.065,0.3985,0,0
1.078,0.4023,0,0
1.089,0.4031,0,0
1.102,0.4063,0,0
1.112,0.4112,0,0
1.122,0.4137,0,0
1.132,0.4145,0,0
1.142,0.4148,0,0
1.154,0.4186,0,0
1.165,0.4199,0,0
1.179,0.4204,0,0
1.189,0.423,0,0
1.201,0.424,0,0
1.212,0.4258,0,0
1.222,0.4284,0,0
1.232,0.4299,0,0
1.242,0.4365,0,0
1.255,0.4467,0,0
1.266,0.454,0,0
1.279,0.469,0,0
1.289,0.4775,0,0
1.302,0.4878,0,0
1.312,0.4976,0,0
1.322,0.5049,0,0
1.333,0.5127,0,0
1.343,0.5198,0,0
1.356,0.5295,0,0
1.366,0.5352,0,0
1.376,0.5437,0,0
1.386,0.5495,0,0
1.397,0.5579,0,0
1.409,0.5688,0,0
1.419,0.5766,0,0
1.429,0.5823,0,0
1.439,0.5893,0,0
1.449,0.5967,0,0
1.459,0.6021,0,0
1.469,0.6089,0,0
1.479,0.616,0,0
1.49,0.6213,0,0
1.502,0.6306,0,0
1.513,0.6371,0,0
1.523,0.6432,0,0
1.536,0.6529,0,0
1.546,0.6589,0,0
1.559,0.668,0,0
