time_s,theta_deg,m1_counts,m2_counts
0.0,0.056,0,0
0.012,0.056,0,0
0.026,0.056,0,0
0.037,0.056,0,0
0.047,0.056,0,0
0.059,0.056,0,0
0.069,0.056,0,0
0.079,0.056,0,0
0.089,0.056,0,0
0.1,0.056,0,0
0.112,0.056,0,0
0.122,0.056,0,0
0.133,0.056,0,0
0.143,0.056,0,0
0.153,0.056,0,0
0.167,0.056,0,0
0.179,0.056,0,0
0.189,0.056,0,0
0.2,0.056,0,0
0.212,0.056,0,0
0.222,0.056,0,0
0.233,0.056,0,0
0.243,0.056,0,0
0.253,0.056,0,0
0.263,0.056,0,0
0.277,0.056,0,0
0.287,0.056,0,0
0.297,0.056,0,0
0.309,0.056,0,0
0.32,0.056,0,0
0.333,0.056,0,0
0.343,0.056,0,0
0.354,0.056,0,0
0.367,0.056,0,0
0.377,0.056,0,0
0.387,0.056,0,0
0.397,0.056,0,0
0.409,0.056,0,0
0.42,0.056,0,0
0.43,0.056,0,0
0.44,0.056,0,0
0.451,0.056,0,0
0.463,0.056,0,0
0.477,0.056,0,0
0.487,0.056,0,0
0.497,0.056,0,0
0.509,0.056,0,0
0.52,0.056,0,0
0.53,0.056,0,0
0.54,0.056,0,0
0.55,0.056,0,0
0.56,0.056,0,0
0.57,0.056,0,0
0.58,0.056,0,0
0.59,0.056,0,0
0.601,0.056,0,0
0.613,0.056,0,0
0.627,0.056,0,0
0.638,0.056,0,0
0.648,0.056,0,0
0.66,0.056,0,0
0.67,0.056,0,0
0.68,0.056,0,0
0.69,0.056,0,0
0.701,0.056,0,0
0.713,0.056,0,0
0.723,0.056,0,0
0.734,0.056,0,0
0.744,0.056,0,0
0.754,0.056,0,0
0.768,0.056,0,0
0.78,0.056,0,0
0.791,0.056,0,0
0.801,0.056,0,0
0.814,0.056,0,0
0.827,0.056,0,0
0.838,0.056,0,0
0.848,0.056,0,0
0.86,0.056,0,0
0.871,0.056,0,0
0.884,0.056,0,0
0.894,0.056,0,0
0.905,0.056,0,0
0.918,0.056,0,0
0.928,0.056,0,0
0.94,0.056,0,0
0.951,0.056,0,0
0.964,0.056,0,0
0.978,0.056,0,0
0.988,0.056,0,0
0.998,0.056,0,0
1.01,0.056,0,0
1.021,0.056,0,0
1.031,0.056,0,0
1.041,0.056,0,0
1.051,0.056,0,0
1.064,0.056,0,0
1.078,0.056,0,0
1.088,0.056,0,0
1.098,0.056,0,0
1.11,0.056,0,0
1.121,0.056,0,0
1.131,0.056,0,0
1.141,0.056,0,0
1.151,0.056,0,0
1.164,0.056,0,0
1.178,0.056,0,0
1.188,0.056,0,0
1.199,0.056,0,0
1.211,0.056,0,0
1.221,0.056,0,0
1.231,0.056,0,0
1.241,0.056,0,0
1.252,0.056,0,0
1.265,0.056,0,0
1.278,0.056,0,0
1.288,0.056,0,0
1.299,0.056,0,0
1.311,0.056,0,0
1.321,0.056,0,0
1.331,0.056,0,0
1.341,0.056,0,0
1.352,0.056,0,0
1.364,0.056,0,0
1.374,0.056,0,0
1.385,0.056,0,0
1.395,0.056,0,0
1.405,0.056,0,0
1.419,0.056,0,0
1.431,0.056,0,0
1.442,0.056,0,0
1.452,0.056,0,0
1.464,0.056,0,0
1.474,0.056,0,0
1.485,0.056,0,0
1.495,0.056,0,0
1.506,0.056,0,0
1.519,0.056,0,0
1.531,0.056,0,0
1.542,0.056,0,0
1.552,0.056,0,0
1.565,0.056,0,0
1.578,0.056,0,0
1.589,0.056,0,0
1.599,0.056,0,0
1.611,0.056,0,0
1.622,0.056,0,0
1.635,0.056,0,0
1.646,0.056,0,0
1.656,0.056,0,0
1.669,0.056,0,0
1.679,0.056,0,0
1.689,0.056,0,0
1.699,0.056,0,0
1.711,0.056,0,0
1.722,0.056,0,0
1.732,0.056,0,0
1.742,0.056,0,0
1.753,0.056,0,0
1.766,0.056,0,0
1.779,0.056,0,0
1.789,0.056,0,0
1.799,0.056,0,0
1.811,0.056,0,0
1.822,0.056,0,0
1.832,0.056,0,0
1.842,0.056,0,0
1.853,0.056,0,0
1.865,0.056,0,0
1.875,0.056,0,0
1.885,0.056,0,0
1.896,0.056,0,0
1.906,0.056,0,0
1.919,0.056,0,0
1.929,0.056,0,0
1.939,0.056,0,0
1.949,0.056,0,0
1.962,0.056,0,0
1.972,0.056,0,0
1.982,0.056,0,0
1.993,0.056,0,0
2.003,0.056,0,0
2.015,0.056,0,0
2.025,0.056,0,0
2.036,0.056,0,0
2.046,0.056,0,0
2.056,0.056,0,0
2.07,0.056,0,0
2.082,0.056,0,0
2.093,0.056,0,0
2.103,0.056,0,0
2.115,0.056,0,0
2.125,0.056,0,0
2.136,0.056,0,0
2.146,0.056,0,0
2.157,0.056,0,0
2.17,0.056,0,0
2.182,0.056,0,0
2.193,0.056,0,0
2.203,0.056,0,0
2.216,0.056,0,0
2.229,0.056,0,0
2.24,0.056,0,0
2.25,0.056,0,0
2.262,0.056,0,0
2.273,0.056,0,0
2.283,0.056,0,0
2.293,0.056,0,0
2.303,0.056,0,0
2.316,0.056,0,0
2.329,0.056,0,0
2.34,0.056,0,0
2.35,0.056,0,0
2.363,0.056,0,0
2.373,0.056,0,0
2.383,0.056,0,0
2.393,0.056,0,0
2.403,0.056,0,8
2.416,0.056,0,31
2.429,0.056,0,72
2.44,0.056,0,114
2.45,0.056,0,162
2.462,0.056,0,228
2.473,0.056,0,292
2.483,0.056,0,359
2.493,0.056,0,430
2.504,0.056,0,506
2.516,0.056,0,604
2.53,0.056,0,716
2.54,0.056,0,807
2.55,0.056,0,899
2.563,0.056,0,1010
