time_s,theta_deg,m1_counts,m2_counts
0.0,0.2737,0,0
0.011,0.2773,0,0
0.021,0.2789,0,0
0.031,0.2823,0,0
0.044,0.2882,0,0
0.054,0.2899,0,0
0.064,0.2939,0,0
0.074,0.2988,0,0
0.084,0.3004,0,0
0.096,0.3007,0,0
0.106,0.3028,0,0
0.117,0.3051,0,0
0.128,0.3077,0,0
0.14,0.3112,0,0
0.151,0.3168,0,0
0.161,0.3199,0,0
0.171,0.3209,0,0
0.181,0.3261,0,0
0.194,0.3298,0,0
0.204,0.3306,0,0
0.214,0.334,0,0
0.225,0.3382,0,0
0.236,0.3398,0,0
0.247,0.3436,0,0
0.258,0.3489,0,0
0.268,0.3507,0,0
0.278,0.3527,0,0
0.29,0.3553,0,0
0.301,0.358,0,0
0.311,0.3596,0,0
0.321,0.3602,0,0
0.331,0.3604,0,0
0.341,0.3604,0,0
0.351,0.3604,0,0
0.361,0.3604,0,0
0.372,0.3605,0,0
0.384,0.3605,0,0
0.394,0.3605,0,0
0.405,0.3605,0,0
0.415,0.3605,0,0
0.425,0.3605,0,0
0.435,0.3605,0,0
0.448,0.3605,0,0
0.458,0.3605,0,0
0.468,0.3605,0,0
0.478,0.3605,0,0
0.491,0.3605,0,0
0.502,0.3605,0,0
0.512,0.3605,0,0
0.522,0.3605,0,0
0.535,0.3591,0,0
0.548,0.3568,0,0
0.558,0.3563,0,0
0.568,0.3562,0,0
0.579,0.3561,0,0
0.591,0.3561,0,0
0.602,0.3561,0,0
0.612,0.3561,0,0
0.622,0.3561,0,0
0.632,0.3561,0,0
0.645,0.3561,0,0
0.655,0.3561,0,0
0.665,0.3561,0,0
0.675,0.3561,0,0
0.685,0.3561,0,0
0.695,0.3561,0,0
0.705,0.3561,0,0
0.715,0.3561,0,0
0.725,0.3561,0,0
0.735,0.3561,0,0
0.745,0.3561,0,0
0.755,0.3561,0,0
0.765,0.3561,0,0
0.776,0.3561,0,0
0.787,0.3561,0,0
0.798,0.3561,0,0
0.809,0.3561,0,0
0.819,0.3561,0,0
0.829,0.3561,0,0
0.841,0.3561,0,0
0.852,0.3561,0,0
0.862,0.3561,0,0
0.872,0.3561,0,0
0.882,0.3561,0,0
0.895,0.3561,0,0
0.905,0.3561,0,0
0.915,0.3561,0,0
0.925,0.3561,0,0
0.935,0.3561,0,0
0.945,0.3561,0,0
0.955,0.3561,0,4
0.965,0.3561,0,18
0.976,0.3561,0,43
0.987,0.355,0,82
0.999,0.3524,0,130
1.009,0.3384,0,180
1.019,0.3123,0,236
1.029,0.2711,0,298
1.039,0.217,0,362
1.05,0.147,0,441
1.063,0.1225,0,540
1.073,0.1405,0,619
1.084,0.1923,0,718
1.095,0.2744,0,815
1.106,0.345,0,908
1.119,0.3833,0,1028
1.129,0.4284,0,1123
1.139,0.4362,0,1218
1.15,0.4612,0,1328
1.162,0.4901,0,1454
1.173,0.5568,0,1561
1.184,0.5872,0,1684
1.196,0.6027,0,1799
1.206,0.5999,0,1910
1.219,0.5653,0,2049
1.229,0.5734,0,2156
1.239,0.5582,0,2263
1.25,0.5808,0,2384
1.262,0.6157,0,2521
1.273,0.6747,0,2636
1.285,0.706,0,2769
1.296,0.744,0,2892
1.306,0.7772,0,3008
1.319,0.7727,0,3153
1.329,0.8173,0,3267
1.339,0.8448,0,3378
1.35,0.9058,0,3503
1.362,0.9705,0,3641
1.373,1.0248,0,3763
1.383,1.0903,0,3876
1.393,1.2207,0,3999
1.404,1.3234,0,4116
1.416,1.428,0,4254
1.426,1.5618,0,4374
1.437,1.6936,0,4497
1.448,1.8561,0,4624
1.458,1.9907,0,4747
1.469,2.1044,0,4872
1.48,2.2717,0,4991
1.491,2.447,0,5122
1.503,2.6363,0,5255
1.516,2.86,0,5406
1.526,3.0265,0,5529
1.536,3.1949,0,5641
1.547,3.419,0,5765
1.558,3.6028,0,5897
1.569,3.7624,0,6023
1.58,3.9272,0,6149
1.591,4.1291,0,6281
1.603,4.3251,0,6415
1.616,4.5366,0,6566
1.626,4.691,0,6689
1.636,4.8463,0,6801
1.647,5.0524,0,6927
1.658,5.2182,0,7059
1.669,5.3618,0,7188
1.68,5.5103,0,7311
1.691,5.6958,0,7438
1.702,5.8668,0,7575
1.712,5.9998,0,7682
1.725,6.194,0,7832
1.736,6.3484,0,7968
1.747,6.5196,0,8095
1.758,6.6566,0,8225
1.769,6.7795,0,8352
1.78,6.9141,0,8476
1.79,7.0739,0,8588
1.802,7.2293,0,8728
1.814,7.4024,0,8868
1.827,7.5699,0,9018
1.837,7.6977,0,9143
1.848,7.8558,0,9272
1.859,7.9861,0,9393
1.87,8.0897,0,9519
1.88,8.2307,0,9639
1.89,8.3649,0,9752
1.902,8.5122,0,9891
1.914,8.6793,0,10029
1.924,8.8081,0,10146
1.935,8.9429,0,10282
1.946,9.1094,0,10410
1.957,9.2461,0,10533
1.97,9.3944,0,10682
1.98,9.5351,0,10804
1.992,9.7159,0,10938
2.003,9.9034,0,11072
2.013,10.0491,0,11185
2.024,10.2013,0,11309
2.036,10.4342,0,11458
2.047,10.6449,0,11584
2.059,10.8142,0,11716
2.069,10.9641,0,11835
